< file: D:\Dargon\output_dump\DATA\Spells\IreliaGatotsu.inibin >
< format-ver: 2 >
< types-mask: 0x1033 >
< sizes: (symtab=511, total=1096) >

| KEY        | VALUE                                    | TYPE                
| 0x036ea71d Unknown              | True                                     | FMT_BITFIELD        
| 0x05791117 Unknown              |                                          | FMT_OFFSET          
| 0x08930877 Unknown              | 0.0000 0.0000 0.0000                     | FMT_OFFSET          
| 0x0e284e9b Unknown              | 0                                        | FMT_OFFSET          
| 0x12500410 Unknown              | 0                                        | FMT_OFFSET          
| 0x13cdfccb Unknown              | 650.0000                                 | FMT_OFFSET          
| 0x13cdfccc Unknown              | 650.0000                                 | FMT_OFFSET          
| 0x13cdfccd Unknown              | 650.0000                                 | FMT_OFFSET          
| 0x13cdfcce Unknown              | 650.0000                                 | FMT_OFFSET          
| 0x13cdfccf Unknown              | 650.0000                                 | FMT_OFFSET          
| 0x15e8fb50 Unknown              | 0                                        | FMT_OFFSET          
| 0x1802665f Unknown              | False                                    | FMT_BITFIELD        
| 0x18026660 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026661 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026662 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026663 Unknown              | False                                    | FMT_BITFIELD        
| 0x1b535f81 Unknown              | 0                                        | FMT_OFFSET          
| 0x1bd30fcd Effect1AmountLV1     | 20.0000                                  | FMT_OFFSET          
| 0x20004c61 AppliesOnHit         | True                                     | FMT_BITFIELD        
| 0x2950e937 Unknown              | Level 2                                  | FMT_OFFSET          
| 0x2c1c7d1c Unknown              | 0                                        | FMT_OFFSET          
| 0x325d30bd Scaling1             | 1.0000                                   | FMT_OFFSET          
| 0x3852c5e3 Unknown              | 0                                        | FMT_OFFSET          
| 0x426dde0a Unknown              |                                          | FMT_OFFSET          
| 0x4395f889 Unknown              | 300.0000                                 | FMT_OFFSET          
| 0x4690dedf Unknown              | 2                                        | FMT_U8              
| 0x4690dee0 Unknown              | 2                                        | FMT_U8              
| 0x4690dee1 Unknown              | 2                                        | FMT_U8              
| 0x479a1b20 Unknown              | missing_instant.troy                     | FMT_OFFSET          
| 0x494f9223 FlatCooldown         | 14.0000                                  | FMT_OFFSET          
| 0x56cff119 Unknown              | 2200.0000                                | FMT_OFFSET          
| 0x681c7297 SpellSlot            | Attack1                                  | FMT_OFFSET          
| 0x6a07de97 Unknown              | True                                     | FMT_BITFIELD        
| 0x6b9e52d5 Name                 | game_spell_displayname_IreliaGatotsu     | FMT_OFFSET          
| 0x6d0a0522 TargetFlags          | Instacast | AffectEnemies | AffectNeutral | AffectMinions | AffectHeroes | FMT_OFFSET          
| 0x6d3d4838 Unknown              | Level 3                                  | FMT_OFFSET          
| 0x70176eac Unknown              | False                                    | FMT_BITFIELD        
| 0x73204756 Unknown              | 0                                        | FMT_OFFSET          
| 0x747ec9d1 Effect1AmountLV5     | 140.0000                                 | FMT_OFFSET          
| 0x7ac339dd ImageFileName        | Irelia_Bladesurge.dds                    | FMT_OFFSET          
| 0x804cd25a Unknown              | 0                                        | FMT_OFFSET          
| 0x828e83ba Unknown              | 0                                        | FMT_OFFSET          
| 0x82f1f008 Unknown              | False                                    | FMT_BITFIELD        
| 0x831ef894 Unknown              |                                          | FMT_OFFSET          
| 0x8345eb92 Unknown              | False                                    | FMT_BITFIELD        
| 0x86788e0d Unknown              | 0                                        | FMT_OFFSET          
| 0x88cc033d Unknown              | root                                     | FMT_OFFSET          
| 0x88dde704 Unknown              | 0                                        | FMT_OFFSET          
| 0x8a05f8b9 Unknown              | 45.0000                                  | FMT_OFFSET          
| 0x8a32df02 Unknown              | 0                                        | FMT_OFFSET          
| 0x8b4cdd97 Unknown              | True                                     | FMT_BITFIELD        
| 0x8e7f2751 Unknown              | 0                                        | FMT_OFFSET          
| 0x95cb76f7 Unknown              | False                                    | FMT_BITFIELD        
| 0x95cb76f8 Unknown              | False                                    | FMT_BITFIELD        
