< file: D:\Dargon\output_dump\DATA\Spells\EzrealMysticShot.inibin >
< format-ver: 2 >
< types-mask: 0x1037 >
< sizes: (symtab=541, total=1158) >

| KEY        | VALUE                                    | TYPE                
| 0x036ea71d Unknown              | True                                     | FMT_BITFIELD        
| 0x05791117 Unknown              |                                          | FMT_OFFSET          
| 0x08930877 Unknown              | 0.0000 0.0000 0.0000                     | FMT_OFFSET          
| 0x0d8f03d3 Effect3AmountLV5     | False                                    | FMT_BITFIELD        
| 0x0e284e9b Unknown              | 0                                        | FMT_OFFSET          
| 0x10a0151c Unknown              | DefaultRangeIndicator.dds                | FMT_OFFSET          
| 0x12303e4d Unknown              | False                                    | FMT_BITFIELD        
| 0x12500410 Unknown              | 0                                        | FMT_OFFSET          
| 0x15e8fb50 Unknown              | 0                                        | FMT_OFFSET          
| 0x1802665f Unknown              | False                                    | FMT_BITFIELD        
| 0x18026660 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026661 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026662 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026663 Unknown              | False                                    | FMT_BITFIELD        
| 0x1b535f81 Unknown              | 0                                        | FMT_OFFSET          
| 0x1bd30fcd Effect1AmountLV1     | 35.0000                                  | FMT_OFFSET          
| 0x20004c61 AppliesOnHit         | True                                     | FMT_BITFIELD        
| 0x2950e937 Unknown              | Level 2                                  | FMT_OFFSET          
| 0x325d30bd Scaling1             | 1.0000                                   | FMT_OFFSET          
| 0x37641552 Effect3AmountLV4     | False                                    | FMT_BITFIELD        
| 0x3852c5e3 Unknown              | 0                                        | FMT_OFFSET          
| 0x4106e6d2 Effect2AmountLV5     | False                                    | FMT_BITFIELD        
| 0x426dde0a Unknown              |                                          | FMT_OFFSET          
| 0x4395f889 Unknown              | 210.0000                                 | FMT_OFFSET          
| 0x45a8214c Unknown              | False                                    | FMT_BITFIELD        
| 0x4690dedf Unknown              | 0                                        | FMT_OFFSET          
| 0x4690dee0 Unknown              | 0                                        | FMT_OFFSET          
| 0x4690dee1 Unknown              | 0                                        | FMT_OFFSET          
| 0x479a1b20 Unknown              |                                          | FMT_OFFSET          
| 0x494f9223 FlatCooldown         | False                                    | FMT_BITFIELD        
| 0x56cff119 Unknown              | 1200.0000                                | FMT_OFFSET          
| 0x613926d1 Effect3AmountLV3     | False                                    | FMT_BITFIELD        
| 0x681c7297 SpellSlot            | Attack1                                  | FMT_OFFSET          
| 0x6a07de97 Unknown              | True                                     | FMT_BITFIELD        
| 0x6adbf851 Effect2AmountLV4     | False                                    | FMT_BITFIELD        
| 0x6b9e52d5 Name                 | game_spell_displayname_EzrealMysticShot  | FMT_OFFSET          
| 0x6d0a0522 TargetFlags          | Instacast | AffectEnemies | AffectFriends | AffectNeutral | AffectHeroes | AlwaysSelf | FMT_OFFSET          
| 0x6d3d4838 Unknown              | Level 3                                  | FMT_OFFSET          
| 0x70176eac Unknown              | False                                    | FMT_BITFIELD        
| 0x73204756 Unknown              | 0                                        | FMT_OFFSET          
| 0x747ec9d1 Effect1AmountLV5     | 115.0000                                 | FMT_OFFSET          
| 0x7ac339dd ImageFileName        | Ezreal_MysticShot.dds                    | FMT_OFFSET          
| 0x804cd25a Unknown              | 0                                        | FMT_OFFSET          
| 0x828e83ba Unknown              | 0                                        | FMT_OFFSET          
| 0x82f1f008 Unknown              | False                                    | FMT_BITFIELD        
| 0x831ef894 Unknown              |                                          | FMT_OFFSET          
| 0x8345eb92 Unknown              | False                                    | FMT_BITFIELD        
| 0x86788e0d Unknown              | 0                                        | FMT_OFFSET          
| 0x88cc033d Unknown              |                                          | FMT_OFFSET          
| 0x88dde704 Unknown              | 0                                        | FMT_OFFSET          
| 0x897ef7f7 Unknown              | True                                     | FMT_BITFIELD        
| 0x8a05f8b9 Unknown              | 45.0000                                  | FMT_OFFSET          
| 0x8a32df02 Unknown              | 0                                        | FMT_OFFSET          
| 0x8b0e3850 Unknown              | False                                    | FMT_BITFIELD        
