< file: D:\Dargon\output_dump\DATA\Spells\IreliaTranscendentBlades.inibin >
< format-ver: 2 >
< types-mask: 0x1037 >
< sizes: (symtab=706, total=1697) >

| KEY        | VALUE                                    | TYPE                
| 0x036ea71d Unknown              | True                                     | FMT_BITFIELD        
| 0x03ec3253 Effect4AmountLV4     | False                                    | FMT_BITFIELD        
| 0x050125da Unknown              | False                                    | FMT_BITFIELD        
| 0x05791117 Unknown              | AnnieSparks.troy                         | FMT_OFFSET          
| 0x08930877 Unknown              | 0.0000 0.0000 0.0000                     | FMT_OFFSET          
| 0x0d8f03d3 Effect3AmountLV5     | False                                    | FMT_BITFIELD        
| 0x0e284e9b Unknown              | 0                                        | FMT_OFFSET          
| 0x12303e4d Unknown              | False                                    | FMT_BITFIELD        
| 0x12500410 Unknown              | 0                                        | FMT_OFFSET          
| 0x13cdfccb Unknown              | 10000.0000                               | FMT_OFFSET          
| 0x13cdfccc Unknown              | 10000.0000                               | FMT_OFFSET          
| 0x13cdfccd Unknown              | 10000.0000                               | FMT_OFFSET          
| 0x13cdfcce Unknown              | 10000.0000                               | FMT_OFFSET          
| 0x13cdfccf Unknown              | 10000.0000                               | FMT_OFFSET          
| 0x13cdfcd0 Unknown              | 1200.0000                                | FMT_OFFSET          
| 0x15e8fb50 Unknown              | 0                                        | FMT_OFFSET          
| 0x1731d553 Unknown              | False                                    | FMT_BITFIELD        
| 0x1802665f Unknown              | False                                    | FMT_BITFIELD        
| 0x18026660 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026661 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026662 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026663 Unknown              | False                                    | FMT_BITFIELD        
| 0x18026664 Unknown              | False                                    | FMT_BITFIELD        
| 0x1b535f81 Unknown              | 0                                        | FMT_OFFSET          
| 0x1bd30fcd Effect1AmountLV1     | 80.0000                                  | FMT_OFFSET          
| 0x1dab6ac1 Unknown              | False                                    | FMT_BITFIELD        
| 0x20004c61 AppliesOnHit         | True                                     | FMT_BITFIELD        
| 0x241e7252 Effect5AmountLV2     | False                                    | FMT_BITFIELD        
| 0x24b76d11 Unknown              | False                                    | FMT_BITFIELD        
| 0x24b76d12 Unknown              | False                                    | FMT_BITFIELD        
| 0x24b76d13 Unknown              | False                                    | FMT_BITFIELD        
| 0x24b76d14 Unknown              | False                                    | FMT_BITFIELD        
| 0x24b76d15 Unknown              | False                                    | FMT_BITFIELD        
| 0x2950e937 Unknown              | Level 2                                  | FMT_OFFSET          
| 0x2c1c7d1c Unknown              | 0                                        | FMT_OFFSET          
| 0x2dc143d2 Effect4AmountLV3     | False                                    | FMT_BITFIELD        
| 0x325c8a5a Unknown              | False                                    | FMT_BITFIELD        
| 0x325d30bd Scaling1             | 0.5                                      | FMT_U8_PT           
| 0x37641552 Effect3AmountLV4     | False                                    | FMT_BITFIELD        
| 0x3852c5e3 Unknown              | 0                                        | FMT_OFFSET          
